ticker,name,type,sector,valuation_sector,data_tier,price,intrinsic,mos,verdict,confidence,composite,reliable,roe,pe,pb,implied_pe,analyst_upside,abstain_cause,red_flags,alt_model
TATAPOWER,Tata Power Co. Ltd.,nonfinancial,Power,UTILITIES,full,377.25,89.07586654817426,-0.7638810694548065,AVOID,high,36.76520189300355,True,0.12966612030594513,32.21570338208052,4.177285270481496,7.6,0.11066931742876077,,priced_for_collapse_avoid,False
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,nonfinancial,Consumer Services,CONSUMER,full,503.65,116.9069381025855,-0.7678805954480581,AVOID,high,41.33905674603171,True,0.07220724416832727,130.8181818181818,9.446020396202085,30.4,0.3144048446341706,,priced_for_collapse_avoid,False
BANDHANBNK,Bandhan Bank Ltd.,financial,Financial Services,BANK,full,212.93,49.269129159344175,-0.7686134919487899,AVOID,high,35.33320500216787,True,0.04784222030193666,28.054566429108508,1.3421927475767255,6.5,-0.10768797257314613,,priced_for_collapse_avoid,False
BORORENEW,Borosil Renewables,nonfinancial,Constr. - Supplies & Fixtures,MANUFACTURING,full,608.5,139.6161032483247,-0.7705569379649553,AVOID,medium,28.494629267175508,True,0.08432451036847297,64.33669544740974,5.42516034232839,14.8,,,priced_for_collapse_avoid,False
SOBHA,Sobha Ltd.,nonfinancial,Realty,REALTY,full,1462.0,324.7189271998924,-0.7778940306430285,AVOID,high,33.75053615418009,True,0.04097730262948815,80.80647329507265,3.311231310633844,17.9,0.22571819425444598,,priced_for_collapse_avoid,False
AVALON,Avalon Technologies,nonfinancial,Electronic Instr. & Controls,MANUFACTURING,full,1721.7,381.7601048661813,-0.778265606745553,AVOID,medium,33.100750916213,True,0.1565033046514528,102.12828685258965,15.983414390821798,22.6,-0.4081431143637103,,priced_for_collapse_avoid,False
BDL,Bharat Dynamics Ltd.,nonfinancial,Capital Goods,CAPITAL_GOODS,full,1256.0,273.0647885785289,-0.7825917288387508,AVOID,high,37.62144965828094,True,0.09911411776079528,109.51229956701718,10.85421495554083,23.8,0.04936305732484077,,priced_for_collapse_avoid,False
SGFIN,SG Finserve Ltd,financial,Misc. Financial Services,NBFC,full,631.3,133.75288774022144,-0.7881310189446832,AVOID,medium,27.923640547622067,True,0.08742518250674555,28.18745104182986,2.4642930517319304,6.0,,,priced_for_collapse_avoid|implied_pe_lt_third_sector_exit,False
HEG,H.E.G. Ltd.,nonfinancial,Capital Goods,CAPITAL_GOODS,full,585.1,123.59448839111222,-0.7887634790785981,AVOID,high,32.86193691208116,True,0.0710352422907489,33.41153322681816,2.373396358072435,7.1,0.13655785335840023,,priced_for_collapse_avoid|implied_pe_lt_third_sector_exit,False
PIRAMALFIN,Piramal Finance Ltd.,financial,Financial Services,NBFC,full,2124.0,444.21580981673577,-0.7908588466022901,AVOID,high,34.91276779921672,True,0.053506632287291835,32.124981741405186,1.718899585273331,6.7,-0.3408662900188324,,priced_for_collapse_avoid,False
